 views ; list_id ;  platform  ; first_date ; last_date  ; region ; category ;                   sub_category                    ;                                                   subject_full                                                   ;  area  ; zipcode ;
244;1364002; web        ; 2019-02-04 ; 2019-02-12 ;23;9280; 9210,9280,9282                                    ; Vi söker nattarbetande Teamledare till våra 50 konsulter inom produktion.                                      ;263; ;
122;1364002; mobile_web ; 2019-02-04 ; 2019-02-12 ;23;9280; 9210,9280,9282                                    ; Vi söker nattarbetande Teamledare till våra 50 konsulter inom produktion.                                      ;263; ;
18;1364002; ios        ; 2019-02-04 ; 2019-02-12 ;23;9280; 9210,9280,9282                                    ; Vi söker nattarbetande Teamledare till våra 50 konsulter inom produktion.                                      ;263; ;
16;1364002; android    ; 2019-02-04 ; 2019-02-12 ;23;9280; 9210,9280,9282                                    ; Vi söker nattarbetande Teamledare till våra 50 konsulter inom produktion.                                      ;263; ;
2;1371584; mobile     ; 2019-01-30 ; 2019-01-30 ;15;9300;9300,9301; Spolbilsoperatör                                                                                                ; 179:7  ; ;
2;1389372; mobile_web ; 2019-01-28 ; 2019-01-28 ;13;9240; 9240,9241,9243                                    ; Vi söker en junio redovisningsassistent                                                                         ;161; ;
14;1413040; ios        ; 2019-01-23 ; 2019-02-10 ;8;9310; 9310,9315,9370,9372                               ; Sommarvikarier städ                                                                                             ;97;70227;
32;1413040; android    ; 2019-01-24 ; 2019-02-10 ;8;9310; 9310,9315,9370,9372                               ; Sommarvikarier städ                                                                                             ;97;70227;
2;1421314; ios        ; 2019-01-17 ; 2019-01-17 ;15;9240;9240,9243; Senior Redovisningsekonom till fordonsindustrin                                                                  ;179; ;
18;1453672; ios        ; 2019-01-15 ; 2019-02-10 ;21;9300;9300,9302; Erfaren och Driven Truckförare sökes                                                                           ;248; ;
53;1453672; android    ; 2019-01-14 ; 2019-02-11 ;21;9300;9300,9302; Erfaren och Driven Truckförare sökes                                                                           ;248; ;
14;1462279; ios        ; 2019-01-30 ; 2019-02-09 ;23;9250; 9250,9251,9310,9311                               ; Kontorsvärd/värdinna på 75% sökes till Byggnads Skåne                                                       ;274; ;
9;1462279; android    ; 2019-01-30 ; 2019-02-04 ;23;9250; 9250,9251,9310,9311                               ; Kontorsvärd/värdinna på 75% sökes till Byggnads Skåne                                                       ;274; ;
2;1474225; web        ; 2019-01-30 ; 2019-01-30 ;15;9240;                                                   ; Space Production AB söker en redovisningsekonom                                                                 ;179; ;
18;1478749; ios        ; 2019-01-26 ; 2019-02-07 ;11;9250;9250,9252; Receptionist - Stockholm                                                                                         ; 131:12 ; ;
44;1478749; android    ; 2019-01-25 ; 2019-02-12 ;11;9250;9250,9252; Receptionist - Stockholm                                                                                         ; 131:12 ; ;
7;1518605; android    ; 2019-02-11 ; 2019-02-11 ;11;9230;9230,9427; Supporttekniker till ett företag med spännande utvecklingsmöjligheter                                         ;130; ;
5;1542450; web        ; 2019-01-16 ; 2019-01-16 ;11;9270;9270,9271; Bemanningschef till Peab                                                                                         ;131; ;
2;1550407; mobile     ; 2019-01-20 ; 2019-01-20 ;10;9220;9220; Takmontörer till Vesivek (fd Nordisk Takexpress)                                                                ;113; ;
16;1551644; ios        ; 2019-01-21 ; 2019-02-10 ;11;9230; 9230,9231,9350                                    ; Mjukvaruutvecklare för inbyggda realtidssystem                                                                  ;131; ;
5;1552062; mobile     ; 2019-01-14 ; 2019-02-09 ;11;9270;9270,9272; Kandidatansvarig på deltid till OnePartnerGroup AB                                                              ; 131:12 ; ;
2;1555969; mobile     ; 2019-01-27 ; 2019-01-27 ;11;9260;9260,9262; Account Manager SEO                                                                                              ;131; ;
2;1558287; mobile     ; 2019-01-02 ; 2019-01-02 ;11;9270;9270,9272; Rekryteringskonsult Stockholm                                                                                    ;131; ;
2;1563591; ios        ; 2019-01-31 ; 2019-01-31 ;15;9260;9260,9264; Sommarpersonal till Fjällbacka, Grebbestad och Strömstad                                                       ;190; ;
2;1564176; mobile     ; 2019-01-30 ; 2019-01-30 ;15;9230;9230,9232; Scrum Master - R&D                                                                                               ;179; ;
2;1565101; mobile     ; 2019-02-12 ; 2019-02-12 ;15;9230;9230,9231; Frontend-utvecklare / Front-end developer till Sigma IT Consulting                                               ;179; ;
2;1565135; mobile     ; 2019-02-12 ; 2019-02-12 ;15;9230;9230,9236; Testledare till Sigma IT Consulting Göteborg                                                                    ;179; ;
2;1567216; mobile     ; 2019-02-07 ; 2019-02-07 ;20;9300;9300,9301; Lastbilschaufförer sökes!                                                                                      ;240; ;
2;1577466; mobile     ; 2019-02-10 ; 2019-02-10 ;11;9350;9350,9436; Mekaniker - Kallhäll, Region Stockholm                                                                          ;121; ;
242;1580689; web        ; 2019-01-17 ; 2019-02-12 ;23;9240; 9240,9243,9245                                    ; Är du redovisningskonsult och vill vara med och växa med Beviso                                                ; 274:6  ; ;
37;1580689; mobile_web ; 2019-01-18 ; 2019-02-12 ;23;9240; 9240,9243,9245                                    ; Är du redovisningskonsult och vill vara med och växa med Beviso                                                ; 274:6  ; ;
9;1580689; ios        ; 2019-01-19 ; 2019-02-06 ;23;9240; 9240,9243,9245                                    ; Är du redovisningskonsult och vill vara med och växa med Beviso                                                ; 274:6  ; ;
18;1580689; android    ; 2019-01-17 ; 2019-02-11 ;23;9240; 9240,9243,9245                                    ; Är du redovisningskonsult och vill vara med och växa med Beviso                                                ; 274:6  ; ;
2;1589356; mobile     ; 2019-01-30 ; 2019-01-30 ;15;9300;9300,9302; Drivna Orderplockare sökes                                                                                      ; 179:7  ; ;
12;1590830; ios        ; 2019-01-08 ; 2019-02-11 ;11;9280;9280,9284; Mätmaskinstekniker helg- eller kvällsskift sökes till System 3R                                               ; 131:12 ; ;
2;1591371; mobile     ; 2019-01-23 ; 2019-01-23 ;23;9260;9260; Säljare med eller utan erfarenhet. Lön 24 500 kr plus provision                                                ;269; ;
